Date,Parameter1,Parameter2,Parameter3,Parameter4
2000-03-26,185310,741023,183890,712899
2000-03-27,762312,763619,519632,904217
2000-03-28,715851,713888,427789,653209
2000-03-29,652551,183082,517921,754694
2000-03-30,12898,626489,212615,787937
2000-03-31,842325,158025,860830,295777
2000-04-01,816946,76334,702975,870543
2000-04-02,33707,464240,518411,517780
2000-04-03,228218,545755,716102,108715
2000-04-04,998161,565592,497429,606698
2000-04-05,403093,679224,770848,948320
2000-04-06,748038,432050,868485,924632
2000-04-07,562797,25211,380266,873667
2000-04-08,488647,754902,989533,354564
2000-04-09,773458,248990,483875,578796
2000-04-10,378918,651428,647931,641019
2000-04-11,772415,282906,284207,206342
2000-04-12,481920,441394,780556,621627
2000-04-13,426124,755842,120613,874233
2000-04-14,23800,480618,29678,487476
2000-04-15,203670,576364,836652,201491
2000-04-16,120579,874759,443670,778362
2000-04-17,456339,218267,29835,456218
2000-04-18,475563,406864,907095,661296
2000-04-19,52055,738609,517431,625881
2000-04-20,378850,92206,679149,801463
2000-04-21,83139,185592,680202,424025
2000-04-22,946391,785117,207018,646090
2000-04-23,100217,730325,459992,155686
2000-04-24,114417,787866,835701,487508
2000-04-25,891525,618488,699630,239493
2000-04-26,119325,632786,974080,706474
2000-04-27,224866,264001,204532,408684
2000-04-28,129900,378365,745296,742386
2000-04-29,977285,452610,720716,245411
2000-04-30,32733,858830,690103,31429
2000-05-01,402861,701158,805298,855805
2000-05-02,198326,567119,488864,742115
2000-05-03,428184,124608,127064,377859
2000-05-04,216167,488768,596932,418464
2000-05-05,656789,430948,708842,716068
2000-05-06,460064,518397,754273,479262
2000-05-07,221931,280024,246290,393844
2000-05-08,301189,600892,826479,982897
2000-05-09,204178,680025,224977,241660
2000-05-10,174822,83849,427861,955559
2000-05-11,134179,320527,998977,225373
2000-05-12,129616,666789,738939,469210
2000-05-13,953187,488875,372974,458349
2000-05-14,344818,613933,686444,674905
2000-05-15,555352,83788,672153,914620
2000-05-16,410084,507355,327291,151224
2000-05-17,728709,761799,959775,521164
2000-05-18,257545,634780,390123,300754
2000-05-19,704900,80564,309204,877430
2000-05-20,780029,766924,884954,324282
2000-05-21,598561,995946,289171,858394
2000-05-22,756571,746915,605406,574415
2000-05-23,2966,577346,309593,156037
2000-05-24,723643,808346,674276,16056
2000-05-25,433163,374420,921713,611233
2000-05-26,578117,103385,422930,31593
2000-05-27,640138,216766,630212,305289
2000-05-28,86147,278997,80091,913696
2000-05-29,753039,582273,184481,595277
2000-05-30,224507,290652,529478,954987
2000-05-31,190075,172469,320519,287132
2000-06-01,446830,630758,107521,811415
2000-06-02,541093,782541,810854,864856
2000-06-03,364968,291870,202851,499709
2000-06-04,780049,25532,240215,182249
2000-06-05,192404,578058,439888,533629
2000-06-06,808691,716397,999739,784351
2000-06-07,786308,132758,54306,126149
2000-06-08,225250,377117,721122,674414
2000-06-09,159839,955205,8671,822779
2000-06-10,902306,54664,621035,55102
2000-06-11,348995,165003,450783,953392
2000-06-12,837404,211610,566964,451906
2000-06-13,376169,422547,643592,691390
2000-06-14,466149,650131,71923,138863
2000-06-15,488564,239006,860248,606208
2000-06-16,899293,362020,365527,714462
2000-06-17,520655,315306,213472,275953
2000-06-18,180132,745144,278837,809029
2000-06-19,50083,340745,39567,633528
2000-06-20,324265,643719,82460,646474
2000-06-21,322875,702994,439764,842223
2000-06-22,410954,669833,646286,635764
2000-06-23,590481,491910,114778,206500
2000-06-24,186654,370886,835258,194852
2000-06-25,869558,950829,701426,655288
2000-06-26,707380,596374,510265,97277
2000-06-27,893384,362449,975028,247303
2000-06-28,529303,613967,721445,31453
2000-06-29,512275,608713,65538,979360
2000-06-30,747557,462278,520098,505051
2000-07-01,35259,762967,803874,779137
2000-07-02,983915,71679,144698,286266
2000-07-03,797732,627921,272610,925174
2000-07-04,921668,536800,433737,85268
2000-07-05,550298,296189,651628,532898
2000-07-06,194543,859296,43893,586291
2000-07-07,471400,904387,660987,726436
2000-07-08,887929,861561,480182,120730
2000-07-09,773787,923792,182386,568023
2000-07-10,654029,364674,647107,197793
2000-07-11,982974,968692,828958,641025
2000-07-12,946110,177603,803411,529475
2000-07-13,725940,97321,235999,585266
2000-07-14,319020,956083,797392,319011
2000-07-15,55778,326670,321643,123043
2000-07-16,145697,850894,768315,688443
2000-07-17,104302,195550,667322,618829
2000-07-18,219226,605617,890744,446049
2000-07-19,760020,128744,54424,188941
2000-07-20,311871,927153,681871,761110
2000-07-21,91208,160283,786070,768056
2000-07-22,838480,130897,580768,240005
2000-07-23,755653,850343,145483,541265
2000-07-24,631074,738633,73053,564139
2000-07-25,981359,762788,301738,476874
2000-07-26,972827,436061,774331,52475
2000-07-27,379300,691076,536408,228279
2000-07-28,949124,413781,6483,33499
2000-07-29,329269,758629,124727,832015
2000-07-30,317170,956418,523758,265837
2000-07-31,681415,45263,54073,654634
2000-08-01,959269,139676,213045,421257
2000-08-02,909924,539225,180134,462972
2000-08-03,246232,815002,737537,724039
2000-08-04,310863,475257,644668,501433
2000-08-05,698290,214473,752862,260490
2000-08-06,78193,144926,925260,717504
2000-08-07,654662,434185,493614,740777
2000-08-08,410,499329,191748,844685
2000-08-09,829018,807224,450575,527248
2000-08-10,626552,391992,346961,455650
2000-08-11,593399,652093,232052,106824
2000-08-12,277529,384813,643084,588860
2000-08-13,680097,82420,100353,718367
2000-08-14,302275,908173,198733,268855
2000-08-15,882377,567946,913950,791516
2000-08-16,638373,430225,151242,532935
2000-08-17,903846,37265,582628,416418
2000-08-18,956126,330655,543622,90849
2000-08-19,929563,844462,760649,861316
2000-08-20,839693,22065,607874,182199
2000-08-21,85399,197363,914438,499814
2000-08-22,436163,97882,170059,550746
2000-08-23,683363,520675,749914,511938
2000-08-24,77046,239716,208732,286432
2000-08-25,235608,742603,96589,906471
2000-08-26,545207,228560,846502,563050
2000-08-27,967077,617053,932684,924219
2000-08-28,185996,408301,396115,377641
2000-08-29,380726,45842,154898,339906
2000-08-30,548096,694219,376318,695215
2000-08-31,62740,280843,880531,584987
2000-09-01,638610,45562,999068,978511
2000-09-02,930823,700377,227596,806549
2000-09-03,344564,936186,603616,829808
2000-09-04,188662,725431,861492,323675
2000-09-05,482508,560736,104141,272098
2000-09-06,581090,784098,772852,755057
2000-09-07,767728,246147,375383,182411
2000-09-08,254432,574926,701028,806231
2000-09-09,906334,477680,621242,485490
2000-09-10,64386,479848,787678,878614
2000-09-11,714038,89049,936214,726039
2000-09-12,576008,914064,712038,762945
2000-09-13,104353,497636,909997,417339
2000-09-14,129454,827529,952638,291276
2000-09-15,602282,911940,158762,413273
2000-09-16,430199,962733,19523,788166
2000-09-17,795382,559106,240521,991346
2000-09-18,671360,365687,31936,149361
2000-09-19,448222,820057,565391,681457
2000-09-20,43071,717298,452510,288226
2000-09-21,547957,443512,24730,395804
2000-09-22,884845,527126,72798,730009
2000-09-23,131818,818553,314565,224978
2000-09-24,124397,359365,938362,974063
2000-09-25,810972,294833,251487,80129
2000-09-26,269005,483477,981753,606112
2000-09-27,190040,564042,188410,902429
2000-09-28,487841,389975,877078,974228
2000-09-29,902469,166107,212534,304174
2000-09-30,531324,819166,503273,751437
2000-10-01,445680,612535,563837,646841
2000-10-02,221894,584196,241359,791180
2000-10-03,634372,401978,735213,332232
2000-10-04,782954,868550,799413,203431
2000-10-05,695915,920950,522083,651656
2000-10-06,848124,316859,443155,981458
2000-10-07,515258,388122,858274,216277
2000-10-08,803554,109002,983506,856476
2000-10-09,109048,653425,908686,648351
2000-10-10,966165,404165,620822,246671
2000-10-11,215194,716711,535000,296892
2000-10-12,104672,242917,426125,846817
2000-10-13,619094,350568,106107,841318
2000-10-14,95785,972161,870080,921047
2000-10-15,703310,259513,273976,997200
2000-10-16,411042,679010,919496,47576
2000-10-17,357861,23856,762666,239509
2000-10-18,688812,795336,845047,134254
2000-10-19,870273,291861,625474,709384
2000-10-20,751264,205727,869055,662314
2000-10-21,321696,61114,712874,614843
2000-10-22,463923,782511,485595,14801
2000-10-23,710262,946455,329762,559950
2000-10-24,421144,81867,960797,934804
2000-10-25,125100,712912,91546,47712
2000-10-26,342997,112219,206231,36413
2000-10-27,96588,455431,168996,409227
2000-10-28,333396,726400,830838,162534
2000-10-29,933157,67889,426249,33312
2000-10-30,980820,740056,238421,406404
2000-10-31,718914,566240,941354,375709
2000-11-01,228622,972541,345828,803461
2000-11-02,692113,691555,417347,111851
2000-11-03,298328,190495,581639,605004
2000-11-04,694238,925821,749591,550635
2000-11-05,491791,700847,58784,917234
2000-11-06,848957,541533,637463,306983
2000-11-07,105137,1315,458000,200441
2000-11-08,616290,594379,899141,286743
2000-11-09,291445,623650,483341,588513
2000-11-10,611464,105191,153336,426128
2000-11-11,95210,106426,327227,911666
2000-11-12,350467,388623,424194,305644
2000-11-13,992512,343886,379600,849291
2000-11-14,563531,512341,558004,53832
2000-11-15,855963,846663,208513,462049
2000-11-16,404873,943441,659142,590896
2000-11-17,214560,933034,747318,567842
2000-11-18,390398,697490,134419,72085
2000-11-19,944118,466638,242716,219902
2000-11-20,727307,165414,326277,276031
2000-11-21,432003,270656,14156,947302
2000-11-22,107290,646173,540625,656913
2000-11-23,435207,782710,50963,856305
2000-11-24,492380,369011,615528,208162
2000-11-25,45495,990218,318506,320768
2000-11-26,90663,50961,969369,493491
2000-11-27,399364,829856,351523,665961
2000-11-28,763422,760765,732681,727107
2000-11-29,590502,980083,596704,682264
2000-11-30,186675,55380,191527,750998
2000-12-01,729550,886353,856504,725770
2000-12-02,767524,585646,871462,132101
2000-12-03,245087,627271,374543,457247
2000-12-04,239091,136051,544877,519320
2000-12-05,656595,357432,395694,937966
2000-12-06,926833,69437,157093,537867
2000-12-07,536693,999724,999805,518707
2000-12-08,349500,395486,108024,268023
2000-12-09,602675,926630,833084,330062
2000-12-10,564172,692457,559678,161774
2000-12-11,914865,411826,36350,124548
2000-12-12,416783,344138,661023,376968
2000-12-13,968905,892192,19486,70151
2000-12-14,56667,449401,118338,155107
2000-12-15,8316,574810,486151,260215
2000-12-16,221012,520245,985246,19744
2000-12-17,209052,116144,765089,581974
2000-12-18,414105,256465,560496,830958
2000-12-19,597200,338689,656743,226283
2000-12-20,496082,124775,942703,102106
2000-12-21,373490,913526,733734,645747
2000-12-22,553732,903386,824723,63652
2000-12-23,668949,138782,629385,172317
2000-12-24,69467,550665,581462,353220
2000-12-25,659137,744044,63392,859359
2000-12-26,478021,680218,195230,681558
2000-12-27,365548,945450,65670,296637
2000-12-28,850670,967370,201405,467321
2000-12-29,676234,269610,110545,983093
2000-12-30,739378,326240,792229,409928
2000-12-31,355029,678951,813647,76117
2001-01-01,616202,791869,107772,983679
2001-01-02,544346,466680,536782,97968
2001-01-03,925840,64815,41468,662646
2001-01-04,532646,615338,515870,306358
2001-01-05,330819,787248,852498,153156
2001-01-06,375407,575216,821439,548330
2001-01-07,974917,796852,350141,152058
2001-01-08,772550,122017,421049,228677
2001-01-09,778265,205979,459158,619200
2001-01-10,757593,824477,261337,228546
2001-01-11,149814,915347,135256,391346
2001-01-12,28684,380626,430687,283592
2001-01-13,131649,321920,136625,614959
2001-01-14,408246,52067,69906,298948
2001-01-15,897258,695919,883682,74637
2001-01-16,191299,977180,401469,940686
2001-01-17,209813,669670,368722,841116
2001-01-18,171141,124682,144462,504742
2001-01-19,374458,10691,626372,644700
2001-01-20,975439,891242,98183,453645
2001-01-21,394884,233949,233351,426261
2001-01-22,1299,787600,283969,514487
2001-01-23,23377,686180,908840,304166
2001-01-24,964407,8449,670580,318260
2001-01-25,849725,996982,619032,608026
2001-01-26,38600,154962,141984,471001
2001-01-27,537189,526724,619786,38678
2001-01-28,67800,524229,134183,213427
2001-01-29,332435,739029,775043,884468
2001-01-30,691992,909444,647276,115956
2001-01-31,495926,2675,777955,140104
2001-02-01,269545,821652,210501,138789
2001-02-02,851437,577855,838919,826088
2001-02-03,553109,668115,656382,193709
2001-02-04,809297,549667,43404,932091
2001-02-05,36296,501876,339223,553592
2001-02-06,660959,664365,903001,304470
2001-02-07,694779,80953,625599,432973
2001-02-08,208147,621945,848401,694181
2001-02-09,35787,86680,432462,430094
2001-02-10,271541,14612,387299,997650
2001-02-11,31726,565746,1216,547823
2001-02-12,129458,22428,246081,80225
2001-02-13,105623,51705,930134,590983
2001-02-14,356133,73880,476188,506826
2001-02-15,153372,412884,36154,681660
2001-02-16,835031,88344,677906,522682
2001-02-17,567500,648518,855150,241630
2001-02-18,917072,738406,987769,873851
2001-02-19,414160,203135,539117,574007
2001-02-20,705486,853366,678700,840482
2001-02-21,930119,805629,208448,966783
2001-02-22,774293,426265,122405,578555
2001-02-23,53161,645600,624131,726952
2001-02-24,925731,635345,39182,902988
2001-02-25,563054,958033,439271,560740
2001-02-26,48344,665029,235655,260917
2001-02-27,401409,180497,305664,167071
2001-02-28,712398,163386,821649,919063
2001-03-01,297428,925129,655302,877768
2001-03-02,72284,552852,886255,650305
2001-03-03,260562,457218,463955,488119
2001-03-04,620995,138579,706255,443107
2001-03-05,453211,721417,91815,338543
2001-03-06,497734,853695,488069,950351
2001-03-07,300676,980091,610383,927477
2001-03-08,399617,381032,787764,789596
2001-03-09,280469,189523,240237,559244
2001-03-10,662371,398445,664602,877569
2001-03-11,762877,138360,231591,180491
2001-03-12,876636,828868,762541,187443
2001-03-13,315986,267142,779807,958693
2001-03-14,432500,64740,541133,558449
2001-03-15,957309,431371,965783,833986
2001-03-16,20276,156565,959528,838189
2001-03-17,362595,261738,504608,955491
2001-03-18,315390,182207,724837,884205
2001-03-19,682494,416240,979716,44104
2001-03-20,239157,446681,462417,831263
2001-03-21,812885,775808,603476,541269
2001-03-22,527952,649502,84142,488629
2001-03-23,585528,200530,252491,338861
2001-03-24,136154,637913,219690,353091
2001-03-25,81767,900467,707681,664281
2001-03-26,89595,238229,139431,630569
2001-03-27,439241,122429,202950,817308
2001-03-28,699735,804862,319079,884670
2001-03-29,689090,377502,596408,224092
2001-03-30,874435,366572,885295,247682
2001-03-31,233718,113838,315046,275272
2001-04-01,240417,321468,804370,559681
2001-04-02,896472,59666,233986,844693
2001-04-03,332055,227134,941673,795279
2001-04-04,369493,143092,906342,870327
2001-04-05,544254,130529,562358,94600
2001-04-06,143791,92845,622289,947560
2001-04-07,715194,206653,113496,712022
2001-04-08,464133,583739,788894,392935
2001-04-09,835405,96675,297451,740372
2001-04-10,638696,591470,908504,41293
2001-04-11,454392,789874,907012,649408
2001-04-12,242943,656280,888327,636250
2001-04-13,945613,695511,179919,254247
2001-04-14,294483,169267,13881,227463
2001-04-15,592137,510017,748062,524217
2001-04-16,678403,13711,862459,866507
2001-04-17,592317,61440,165597,822943
2001-04-18,657631,360860,957169,622242
2001-04-19,686842,302332,674476,747211
2001-04-20,784576,586026,761837,141400
2001-04-21,597432,742548,61685,10585
2001-04-22,717607,686077,908493,117299
2001-04-23,794893,969956,352744,399032
2001-04-24,89129,559915,882407,384865
2001-04-25,944779,621264,165789,134941
2001-04-26,677929,632005,835418,786682
2001-04-27,44363,43251,569380,178495
2001-04-28,413678,68287,158819,57045
2001-04-29,922799,596139,196977,720369
2001-04-30,770481,574194,421808,375073
2001-05-01,24001,411087,343955,999725
2001-05-02,934691,307458,820159,644102
2001-05-03,628727,850392,221442,307749
2001-05-04,219459,32717,324085,536245
2001-05-05,643972,929943,111246,112898
2001-05-06,328984,504716,744144,635498
2001-05-07,595038,767406,523889,823518
2001-05-08,695136,652670,353892,645433
2001-05-09,797553,664993,564328,299356
2001-05-10,670036,3372,647145,883552
2001-05-11,244132,833773,647647,162421
2001-05-12,980173,644249,364784,500403
2001-05-13,619064,801187,592240,55387
2001-05-14,975591,555585,585457,516007
2001-05-15,555268,884139,171299,425622
2001-05-16,80604,832964,64470,954191
2001-05-17,96936,506618,571541,16678
2001-05-18,90795,621758,553692,739520
2001-05-19,265203,706719,831889,802341
2001-05-20,263994,671644,151026,388196
2001-05-21,753470,632715,127570,314150
2001-05-22,548489,145440,352544,962375
2001-05-23,361750,18754,468631,24607
2001-05-24,943876,30780,741510,491308
2001-05-25,287616,957438,530205,717406
2001-05-26,619428,924851,169791,807694
2001-05-27,287201,560827,763334,939512
2001-05-28,135110,174285,528609,24575
2001-05-29,79299,875921,919536,955490
2001-05-30,737571,469107,995936,725044
2001-05-31,170785,473854,740177,440795
2001-06-01,43655,820292,459652,679255
2001-06-02,978659,373983,294640,194499
2001-06-03,534455,944550,512826,978821
2001-06-04,62841,89920,497567,871210
2001-06-05,251075,877955,990102,971102
2001-06-06,448064,111595,770459,667143
2001-06-07,565625,111926,156022,553961
2001-06-08,940715,361292,964693,360121
2001-06-09,783378,916140,675924,497894
2001-06-10,33027,415954,967138,434890
2001-06-11,508731,779903,499031,663084
2001-06-12,133492,750238,925676,213602
2001-06-13,63166,17262,721168,683965
2001-06-14,616231,946123,239622,607713
2001-06-15,179163,225880,789968,535712
2001-06-16,547648,301013,676359,62303
2001-06-17,699337,137585,636942,349596
2001-06-18,719441,742966,822275,694660
2001-06-19,120892,478768,763617,549519
2001-06-20,51305,781091,451377,415746
2001-06-21,157098,94020,729076,117628
2001-06-22,994157,820762,294692,262295
2001-06-23,462085,349512,995815,272315
2001-06-24,595711,173144,279325,454167
2001-06-25,412718,51307,597991,683747
2001-06-26,889476,505144,957828,26394
2001-06-27,855566,278732,412135,123633
2001-06-28,890333,807493,378024,630178
2001-06-29,264459,862800,557993,874125
2001-06-30,127932,284608,846230,754856
2001-07-01,656918,492384,127439,307828
2001-07-02,97386,308893,829572,437171
2001-07-03,835077,937598,143866,105482
2001-07-04,624309,637921,6098,912039
2001-07-05,650636,95081,207481,519770
2001-07-06,107669,351035,407788,136068
2001-07-07,794447,373273,360471,691538
2001-07-08,313624,635848,373350,673635
2001-07-09,291341,358427,101508,753775
2001-07-10,158560,982371,442820,841908
2001-07-11,899098,598550,131346,312273
2001-07-12,316698,840647,355872,650936
2001-07-13,730596,369380,993941,42395
2001-07-14,681901,354095,24742,663304
2001-07-15,906014,179404,448922,184501
2001-07-16,76864,931706,205097,422255
2001-07-17,669807,512311,827057,62989
2001-07-18,941897,280841,188245,862382
2001-07-19,212056,736310,845803,723030
2001-07-20,335484,945010,144477,735780
2001-07-21,929426,827766,646773,624299
2001-07-22,418697,569197,795561,640606
2001-07-23,496342,805475,191467,14243
2001-07-24,398776,617895,450656,807859
2001-07-25,806016,327251,688699,908351
2001-07-26,559398,151772,932740,474989
2001-07-27,275605,443869,876685,40516
2001-07-28,806215,770568,841021,970381
2001-07-29,838436,97179,465459,668079
2001-07-30,623738,755141,386979,38534
2001-07-31,339467,569968,687094,963218
2001-08-01,278912,427997,819967,537974
2001-08-02,993219,458723,132699,94472
2001-08-03,993563,927649,844609,200873
2001-08-04,961276,595680,357681,266557
2001-08-05,669119,548864,841905,117140
2001-08-06,615367,749781,709223,573653
2001-08-07,915650,767626,492174,896992
2001-08-08,160586,701290,899493,603704
2001-08-09,229059,480400,602142,344698
2001-08-10,63057,358411,647310,950112
2001-08-11,631403,950803,825035,726914
2001-08-12,181244,225728,194783,827114
2001-08-13,417601,118836,71161,109506
2001-08-14,485282,931021,912220,533865
2001-08-15,593869,281231,890779,647840
2001-08-16,278734,583210,887614,264315
2001-08-17,274129,685412,659967,410646
2001-08-18,615039,1632,244739,740570
2001-08-19,802880,747859,347590,410477
2001-08-20,912401,492367,900647,950666
2001-08-21,478969,417446,464147,636839
2001-08-22,19561,123776,735330,154157
2001-08-23,990648,877901,29660,702725
2001-08-24,503641,837204,315852,248332
2001-08-25,781932,376625,687232,755433
2001-08-26,626398,149327,205991,557289
2001-08-27,472752,952519,798986,167410
2001-08-28,4324,140727,203764,113576
2001-08-29,611006,985238,912303,431890
2001-08-30,790456,354219,737664,979658
2001-08-31,541067,907314,978777,172119
2001-09-01,779477,116052,264343,170881
2001-09-02,917396,373372,922872,190325
2001-09-03,174813,265747,606779,711349
2001-09-04,198468,566107,747738,993450
2001-09-05,702114,982600,182867,775397
2001-09-06,137514,355474,578662,400978
2001-09-07,873897,762634,36500,16222
2001-09-08,803837,499762,19373,926931
2001-09-09,973561,813617,916212,25069
2001-09-10,637630,865193,718610,392870
2001-09-11,871825,113039,975920,227217
2001-09-12,7748,885112,792907,124862
2001-09-13,946729,409623,443130,235036
2001-09-14,923022,848972,587481,679958
2001-09-15,668932,68209,810219,654638
2001-09-16,96382,78107,420353,3878
2001-09-17,366818,427014,459680,405536
2001-09-18,305874,364824,542817,707895
2001-09-19,966989,256598,620480,33113
2001-09-20,315722,147849,689927,22384
2001-09-21,535438,363966,515423,590985
2001-09-22,419081,442179,878682,917988
2001-09-23,796843,615494,339143,446386
2001-09-24,695188,910810,994404,900608
2001-09-25,288769,612333,433582,722725
2001-09-26,967532,892238,53400,891457
2001-09-27,338781,598500,276037,681821
2001-09-28,546513,437034,78550,751183
2001-09-29,329969,398140,882796,519596
2001-09-30,86600,618323,929956,715758
2001-10-01,405265,551088,606659,803132
2001-10-02,143317,835512,287538,840447
2001-10-03,938585,254183,648123,897949
2001-10-04,79892,229463,184805,993109
2001-10-05,947515,774533,858554,701503
2001-10-06,547289,624236,161766,879180
2001-10-07,88021,467663,823086,690458
2001-10-08,239757,456414,241350,491309
2001-10-09,245625,611041,84468,665166
2001-10-10,322893,264374,576473,561527
2001-10-11,987823,297382,895255,406791
2001-10-12,620594,899731,750092,440259
2001-10-13,513630,39365,52892,165941
2001-10-14,939469,985289,148666,197417
2001-10-15,512391,803399,884460,70148
2001-10-16,934967,888856,254781,221698
2001-10-17,973875,951145,471528,303099
2001-10-18,217578,850422,143584,856993
2001-10-19,673100,690512,282551,709093
2001-10-20,874370,24549,187892,722793
2001-10-21,696315,364170,50137,826802
2001-10-22,565518,26069,910882,936589
2001-10-23,389482,777365,850782,629875
2001-10-24,250001,127983,307301,66675
2001-10-25,696909,636815,11006,310023
2001-10-26,418945,276032,486674,147580
2001-10-27,205175,438413,145272,753402
2001-10-28,458233,899060,911353,376103
2001-10-29,869999,727794,502435,550767
2001-10-30,117761,306423,305584,804443
2001-10-31,970095,525383,922149,296497
2001-11-01,797210,380840,337408,675203
2001-11-02,493172,594312,534918,315665
2001-11-03,638447,407531,39123,217753
2001-11-04,119982,837880,698240,623998
2001-11-05,507405,435305,726102,404702
2001-11-06,617506,146342,38393,288759
2001-11-07,749886,283700,654816,818318
2001-11-08,405224,674050,388699,656605
2001-11-09,561737,677349,865019,71429
2001-11-10,567859,90518,743632,966855
2001-11-11,437459,755319,828378,471027
2001-11-12,100055,86902,372007,739411
2001-11-13,338473,764932,86788,375713
2001-11-14,799031,452148,928656,715989
2001-11-15,641948,616455,65332,431607
2001-11-16,495710,749569,19057,935219
2001-11-17,569533,471379,421139,192213
2001-11-18,725639,863930,171612,520570
2001-11-19,984782,512350,601465,970001
2001-11-20,830978,793202,488209,775806
2001-11-21,374988,827074,93357,41943
2001-11-22,599531,559159,146562,348507
2001-11-23,937713,817781,700290,907295
2001-11-24,200450,528141,703064,282127
2001-11-25,308892,189212,825078,865640
2001-11-26,514102,457998,240183,256552
2001-11-27,630236,125827,215899,83265
2001-11-28,807884,190736,378884,702740
2001-11-29,487518,346969,287216,201449
2001-11-30,346426,394670,416123,59810
2001-12-01,640943,222063,282980,119617
2001-12-02,44605,487801,250324,710432
2001-12-03,287080,450947,998796,281840
2001-12-04,63656,126562,348598,398486
2001-12-05,500694,838019,692188,191550
2001-12-06,452370,31913,41788,619229
2001-12-07,946574,304285,56861,983469
2001-12-08,807449,688915,236532,51451
2001-12-09,491914,776852,233518,301067
2001-12-10,927076,209173,873057,821665
2001-12-11,589872,724116,987185,59942
2001-12-12,665008,15196,739448,311873
2001-12-13,248509,124719,503442,666815
2001-12-14,993333,662619,376652,729638
2001-12-15,395505,465452,503545,570111
2001-12-16,695177,427758,887882,545225
2001-12-17,122251,224370,359832,173325
2001-12-18,109627,804859,654831,316336
2001-12-19,427194,845401,276753,278005
2001-12-20,476301,711682,762880,567540
2001-12-21,701377,962037,375802,975652
2001-12-22,436199,669867,679019,674964
2001-12-23,745355,449977,702304,679467
2001-12-24,287801,802392,127160,271469
2001-12-25,343747,976097,620889,486841
2001-12-26,119234,151699,795444,993729
2001-12-27,696174,165466,91719,175036
2001-12-28,521322,492992,485021,315491
2001-12-29,163096,972206,623955,206379
2001-12-30,986580,192169,688587,983892
2001-12-31,995761,804163,283314,486593
2002-01-01,157352,402523,768375,496243
2002-01-02,963407,262158,118390,454702
2002-01-03,14070,812180,613263,238142
